lgu_id,lgus_no,lgu_code,lgu_name_ar,city_status,candidate_directorate,candidate_directorate_uuid,evidence_source,evidence_type,confidence,authority_decision,authority_directorate_uuid,authority_directorate_label,authority_reference,authority_effective_date,authority_reviewer,authority_reviewed_at,authority_note,load_eligible
7eff564a-7fbe-42d9-ae6a-9fefb7e2eb5e,26,H014-26,تفوح,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,LOW,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
f4daa9a4-4b8f-4166-8f17-a2018985752d,27,H002-27,يطا,موجوده,Yatta,7e391f77-ded8-4ea8-b0eb-d518507ff194,SRC_YATTA_PLAN_2023_2026,DIRECT_AWQAF_OPERATIONAL_EVIDENCE,HIGH,APPROVED,7e391f77-ded8-4ea8-b0eb-d518507ff194,Yatta,SRC_YATTA_PLAN_2023_2026,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
bd13d5bf-b3fe-49ea-ba4e-483d7ab98e32,28,H007-28,السموع,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_AS_SAMU_2024_MUNICIPAL_TAJWEED,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,APPROVED,7270d37a-6eca-4fd4-8abe-0164022f9a80,South Hebron,SRC_SH_AS_SAMU_2024_MUNICIPAL_TAJWEED,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
c8801611-6b8c-487e-a084-c8efdc87ad88,29,H004-29,دورا,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_DURA_HQ_2019,DIRECT_ORGANIZATIONAL_IDENTITY_EVIDENCE,HIGH,APPROVED,7270d37a-6eca-4fd4-8abe-0164022f9a80,South Hebron,SRC_SH_DURA_HQ_2019,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
4d207532-6317-457d-aafb-8ca884ac70ed,30,H018-30,خاراس,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_KHARAS_2025_GOV_REPORT,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,APPROVED,04f19f65-5e0c-47df-b897-9dd88152ea6c,North Hebron,SRC_NH_KHARAS_2025_GOV_REPORT,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
fbc9c151-cc86-4605-8587-18f44b8606f6,32,H026-32,الرماضين,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
c2b158a7-a020-431f-9914-6ac2c78fda0e,33,H001-33,الخليل,موجوده,Hebron,8e0238db-2e20-49d4-8cf2-db7c376d512b,SRC_CORE_HEBRON_PROFILE,CANONICAL_IDENTITY_ONLY,HIGH,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
3ee44241-6ec0-4679-bb87-5cd62f99742d,34,H011-34,بيت امر,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_BEIT_UMMAR_2023_DIRECTORATE_ACTION,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,APPROVED,04f19f65-5e0c-47df-b897-9dd88152ea6c,North Hebron,SRC_NH_BEIT_UMMAR_2023_DIRECTORATE_ACTION,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
9866c853-55b8-432b-8763-9d0b3a4d8550,35,H003-35,الظاهريه,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_DHAHIRIYA_2025_DIRECTORATE_POST,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,APPROVED,7270d37a-6eca-4fd4-8abe-0164022f9a80,South Hebron,SRC_SH_DHAHIRIYA_2025_DIRECTORATE_POST,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
19bf5c13-34a0-4fd1-8fe9-ae4e5fce1b0c,332,H015-332,الشيوخ,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
1220a8e5-be94-4122-870a-d037fae7bfc1,347,H025-347,خرسا,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_HAJJ_WINNERS_2026,DIRECT_CURRENT_HAJJ_JURISDICTION_EVIDENCE,HIGH,APPROVED,7270d37a-6eca-4fd4-8abe-0164022f9a80,South Hebron,SRC_SH_HAJJ_WINNERS_2026,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
31ff955b-ea6e-47ea-8269-78373a4e6c8a,370,H194-370,خشم الدرج-الهذالين,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
92b2a984-e053-420e-910a-f9a1802fff3f,371,H245-371,مسافر يطا,موجوده,Yatta,7e391f77-ded8-4ea8-b0eb-d518507ff194,SRC_YATTA_PLAN_2023_2026,GEOGRAPHIC_SUPPORT_ONLY,LOW,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
9c1c111b-072d-474d-a144-1562e8fa350f,372,H066-372,بيت الروش التحتا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
4bdc4d9e-7062-4de4-8c09-ea0f24ecb527,373,H045-373,بيت الروش الفوقا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
c0879916-23cd-4141-a799-81adf7d9d047,374,H251-374,سكه -سكا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
3107d1b1-bb8b-4b8d-bf28-29736c67fd54,375,H160-375,الصره,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
596f174d-7ff7-4d25-a8f8-f83430c57a89,376,H032-376,المجد,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
c81b05c9-35b4-4eb3-9f1d-cda066be2cdb,377,H029-377,رابود,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_LOCAL_COUNCILS_EVENT_2017,LOCAL_OPERATIONAL_SUPPORT,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
009a8624-da1d-46e9-883b-4a7f1e5cfad3,378,H040-378,كرمه,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
8c4ef11e-08ef-4dca-a6af-21e98dbf9b8f,379,H034-379,حدب الفوار - الحدب,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
16949afa-4657-44d5-b080-450ba77bbf7e,380,H027-380,البرج والبيره,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
d771fcc5-d01a-4b83-962c-d15df752fc6d,381,H036-381,امريش,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
171e1c29-6528-4297-8354-db2dc39aeb4b,382,H021-382,دير سامت,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
b8bc08d2-244d-4182-b2be-ae58c415fb5a,383,H074-383,دير رازح,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_HAJJ_WINNERS_2026,DIRECT_CURRENT_HAJJ_JURISDICTION_EVIDENCE,HIGH,APPROVED,7270d37a-6eca-4fd4-8abe-0164022f9a80,South Hebron,SRC_SH_HAJJ_WINNERS_2026,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
7e6ecd7d-8f8c-4b67-a511-068dcf574b9e,384,H037-384,دير العسل الفوقا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
470b83c5-e293-4d85-9f38-262fb537b0f5,385,H031-385,بيت عمره,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
5bc25305-cbaa-48ea-ac5b-030e3dca91b9,386,H024-386,الكرمل,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
63aa1105-ae7d-4920-a292-018482196075,387,H039-387,خله الميه,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
9d241fab-6d52-4769-a596-9558bc77daac,388,H069-388,التواني - الطواني,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
eb022a20-7a51-41f6-ae61-f57bb70c301e,389,H051-389,ام الخير,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
6792abd0-563b-4232-b7a2-26890c6da552,390,H064-390,امنيزل,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
ed2b73c7-a5ee-4f62-98bd-c8baf157a802,391,H060-391,دير العسل التحتا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
ef0946ea-996f-4819-8ea6-dc992e89bb77,392,H063-392,النجاده,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
f43f2385-7ed0-4022-babe-488448c18c92,393,H016-393,بيت عوا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
94c545e7-17c3-42bf-a971-f7692f10e8aa,394,H148-394,	الكوم,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
9a2ae358-d145-4a40-a7c6-96372b8d02e2,395,H038-395,	شيوخ العروب,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
00918438-a42c-4312-8a67-6274292f619a,396,H185-396,سوسيا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
b0177f86-1ebf-45ad-b374-9b1ccece0c5a,397,H095-397,مسافر بني نعيم,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
7aafe41b-0340-4922-abae-256417026bb8,398,H023-398,الريحيه,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
d67cf6ad-25a1-4105-b735-9f97f188f8be,400,H075-400,خربه الدير,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
4b8deed1-7366-42b0-86e4-f8235bfa5554,401,H252-401,ام الدرج -الزويدين,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
9e5b4416-8a4e-46df-b0a4-2a007e93b0fa,502,H001-502,واد الشاجنه,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
bb348978-453b-4c93-bb6c-58504a5f2180,588,H001-588,ابو العسجا,موجوده,South Hebron,7270d37a-6eca-4fd4-8abe-0164022f9a80,SRC_SH_LOCAL_COUNCILS_EVENT_2017,LOCAL_OPERATIONAL_SUPPORT,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
b9d85804-a65a-4a94-b12c-8ad6834259a3,589,H001-589,ابو سحويله,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
d8c4cccb-062a-44d9-98a7-4c2601439b0b,590,H001-590,اراضي الشرا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
937ab10d-01c7-4e72-b9c4-48f894e0ca70,591,H001-591,البقعه,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
56a10cb9-f67f-4660-abf9-23f35bab55f3,593,H001-593,الرامه-الخليل,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
7aa801e5-e9e1-4d9c-b136-375a38863e69,594,H001-594,السيميا - سيميا- سيمياء,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
abafcb46-b8b1-437d-9674-80926f540fde,596,H001-596,المصادر -المعادر,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
2af08a9c-2844-4f1b-96bc-853b7f746174,597,H001-597,المورق,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
d306572d-a32a-4c94-be35-aaba54366d63,599,H001-599,ام كميل,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
dd1cca52-53db-4262-88bf-be324736af68,600,H001-600,بدانه -خربه بنايه,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
17973ad0-5ee0-48aa-a3e3-a7e3247120e4,602,H001-602,بني سليم,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
84a6d402-000b-44f8-8a74-edfd1da959bf,603,H001-603,بوابه السبع,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
9b2bf10d-4e7d-4320-9ac8-198bfc6c7dda,604,H001-604,بيت الروش ؟؟ التحتا ام الفوقا,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
548e7904-0ad9-4e1f-9f8c-2b5c2864ece9,605,H001-605,بيت اولا- الخليل,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
b3dfa4b9-5f10-41cd-b9ce-5625df79d847,606,H001-606,بيت باجيب,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
9f3808ad-5c95-4487-bdb9-0613944423ef,608,H001-608,بيت خيران,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
24350f00-40b6-488b-9c37-aca5731e1ebb,610,H001-610,بيت علام -بيت علم,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
973488fd-e5ed-4065-8c55-7db1f12daa0b,611,H001-611,بيت عمر -بيت عمره,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
d7b78b66-4a49-4b28-b2cd-b16b9a12319a,612,H001-612,بيت لافا -لوافي,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
f4c9e4fd-c49a-4d66-b0d7-a335c0ac36cf,613,H001-613,بيت مرسم,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
